"tweet","user_screenname","tweet_url"
"RT @Sarahsnak: You best believe i'm getting floor seats to the weeknd concert in september😍😍😍😍😍😍😍","kaley_Snakovsky","http://twitter.com/undefined/status/879084955887955969"
"RT @pureresiduals: Best Convertible Car Seats https://t.co/EwVA80yFrE","weezyyoung1970","http://twitter.com/undefined/status/879084604166111232"
"Best seats ever for the #NYCPride parade! #Grandstand https://t.co/AAbXpSHChh","wojo4hitz","http://twitter.com/undefined/status/879084477166833665"
"Watching the #Tigers tank from one of the best seats in pet I park. https://t.co/JNhEBnmH7z","DocGoble","http://twitter.com/undefined/status/879084130704662529"
"Best Convertible Car Seats https://t.co/EwVA80yFrE","pureresiduals","http://twitter.com/undefined/status/879083567527100417"
"You best believe i'm getting floor seats to the weeknd concert in september😍😍😍😍😍😍😍","Sarahsnak","http://twitter.com/undefined/status/879083483443990528"
"@alistaircraig_ But in a good way. The best way to ""defend the union"" is to ship 40 seats to a separatist party.","scottr0gers","http://twitter.com/undefined/status/879082886460317696"
"RT @SymphonyNS: Video Games Live is returning to Halifax with an all-new show! Get the best seats and prices with our pre-sale now! https:/…","jygles1","http://twitter.com/undefined/status/879082645128392705"
"Enjoy Every Football Game With Us And/Or Pro Athletes!   Click Here To Reserve The Best Seats Available.… https://t.co/n1iRmNRhEH","sdkhuntersports","http://twitter.com/undefined/status/879082024899932164"
"@dirghayuoza @manishindelhi @ShekharGupta In.2007 he was valuable 2 d party n the government. He could hv won own s… https://t.co/BgCWHmF5Xt","rajendrakamath","http://twitter.com/undefined/status/879080911932993537"
"Find your #baby the #best #carseat https://t.co/wOjeGCy1uj #follow #save","frugalmaniac","http://twitter.com/undefined/status/879080387791769600"
"@ThiCC_BraZiLiaN @TeamNMsupport @NICKIMINAJ @BETAwards @StephenGHill @BET @IamDebraLee it can if she keep being the… https://t.co/i1taLb9mEA","drrkfuller","http://twitter.com/undefined/status/879080164839354369"
"#thewhitehelmets we're fab yesturday at Preston park @BritishArmyOff best part of being on duty was front row seats… https://t.co/4GiSUbiTjF","ami9463","http://twitter.com/undefined/status/879080063794327553"
