"tweet","user_screenname","tweet_url"
"RT @kimberly369369: Fe, a Pit Bull Terrier in GA, needs a home now! See her on https://t.co/Iaj4YJwSWL #TwitterACritter https://t.co/cYUKHZ…","BBfromPA","http://twitter.com/undefined/status/878837373492133888"
"When you have GA pit tickets for @thirdeyeblind at Jones Beach and the tide rolls in.... #summer… https://t.co/Gm8qkw1X6a","jaymesue84","http://twitter.com/undefined/status/878828491508244480"
"Fe, a Pit Bull Terrier in GA, needs a home now! See her on https://t.co/Iaj4YJwSWL #TwitterACritter https://t.co/cYUKHZ3PAD","kimberly369369","http://twitter.com/undefined/status/878826485980835840"
"@fitriafakhri Pit..... Semua kontak ai ilang nih &amp; udah ga pake FB juga. kirimin no u..kemaren di group SMP ai keluar otomatis #upgrade","pradithaNatalia","http://twitter.com/undefined/status/878820508950683648"
"the friends that i gave my GA tickets to have such amazing spots in the pit i'm so happy :)","hoIdingtyler","http://twitter.com/undefined/status/878798413558665216"
"@907bis I have a seat as well but am thinking about trying to get a GA! The pit in the back is SO FUN","LGoodfriend14","http://twitter.com/undefined/status/878775004690870273"
"I have a seat and I'm gunning for a GA so FUCKING HARD I HAVE TO BE IN THAT PIT FOR COLIN RIGS I GOTTA GOTTA GOTTA… https://t.co/WGgjsk2j5K","907bis","http://twitter.com/undefined/status/878774834364379137"
"TIX #Ticket: Two GA PIT TICKETS #JasonAldean 8/25 BB&amp;T Camden NJ https://t.co/SzEYZEdCtX #Tickets https://t.co/OOSqhuDW9w","TixWorld","http://twitter.com/undefined/status/878773531424641024"
"if i ever get GA tickets i'm going to the back of the pit. these people look like they're having so much fun omg","NotEmilo","http://twitter.com/undefined/status/878770111313793024"
"Ga gitu mbak\nMaaf lahir batin mba pit 😊 https://t.co/jyR61jX2iq","OktaviaPF","http://twitter.com/undefined/status/878769778092945409"
"@PauljoshuaB @CyrenMatthew @comiamarkchris @lorenz_ingco @TJamesCultura @enricorphl @ImJamesBright @romyu_16 you ma… https://t.co/kTmPMX8yhu","asdfghjklZoren","http://twitter.com/undefined/status/878768032016769024"
